match,week,team,opponent,Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
NASH @ DC,Week 2,DC,NASH,2024-04-14 12:09:55,18,24 Jamie Eriksson,0,0,0,0,0.21527773,0.5611111
NASH @ DC,Week 2,DC,NASH,2024-04-14 12:11:10,18,06 Laureen Johnson,0,0,0,0,0.53333336,0.5030864
NASH @ DC,Week 2,DC,NASH,2024-04-14 12:21:33,21,36 Carolyn Normile,0,0,0,0,0.39393944,0.6166565
NASH @ DC,Week 2,DC,NASH,2024-04-14 12:22:48,21,01 Ashleigh Jentilet,0,0,0,0,0.52916664,0.24320988
NASH @ DC,Week 2,DC,NASH,2024-04-14 12:36:36,22,07 Kami Groom,0,0,0,0,0.28888893,0.75864196
NASH @ DC,Week 2,DC,NASH,2024-04-14 12:37:54,22,13 Sami Smalling,0,0,0,0,0.76944447,0.30925927
NASH @ DC,Week 2,DC,NASH,2024-04-14 13:00:59,30,09 Annalise Peters,0,0,0,0,0.39722225,0.44135803
NASH @ DC,Week 2,DC,NASH,2024-04-14 13:04:11,31,66 Jackie Wang,0,0,0,0,0.6069444,0.75
NASH @ DC,Week 2,NASH,DC,2024-04-14 20:51:51,4,77 Melissa Gronske,0,0,0,0,0.27083334,0.60740745
NASH @ DC,Week 2,NASH,DC,2024-04-14 21:01:20,7,82 Mary Turner,0,0,0,0,0.41111106,0.8259259
NASH @ DC,Week 2,NASH,DC,2024-04-14 21:07:56,8,10 Tori Taylor,1,0,0,0,0.2569444,0.8598765
NASH @ DC,Week 2,NASH,DC,2024-04-14 21:19:47,10,10 Tori Taylor,0,0,0,0,0.31527773,0.27407405
NASH @ DC,Week 2,NASH,DC,2024-04-14 21:24:04,11,21 Elena Rubino,1,0,0,0,0.78888893,0.9228395
NASH @ DC,Week 2,NASH,DC,2024-04-14 23:02:20,17,10 Tori Taylor,0,0,0,0,0.20555553,0.8302469
NASH @ DC,Week 2,NASH,DC,2024-04-14 23:03:41,17,82 Mary Turner,0,0,0,0,0.73888886,0.8135803
NASH @ DC,Week 2,NASH,DC,2024-04-14 23:12:22,20,23 Breanna Snipes,0,0,0,0,0.6111111,0.4358025
NASH @ DC,Week 2,NASH,DC,2024-04-14 23:21:33,21,22 Rebecca Henley,0,0,0,0,0.69305557,0.6283951
NASH @ DC,Week 2,NASH,DC,2024-04-14 23:46:29,30,24 Mia Letterie,0,0,0,0,0.4819444,0.75
RAL @ ATL,Week 2,ATL,RAL,2024-04-16 16:00:13,9,31 María Vargas,1,0,0,0,0.6811895,0.86324525
RAL @ ATL,Week 2,ATL,RAL,2024-04-16 18:05:20,20,29 Charlotte Doran,0,0,0,0,0.8969571,0.8079287
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 00:27:47,25,13 Hannah Abraham,0,0,0,0,0.14038728,0.7679779
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 00:32:02,25,44 Jordan Harn,0,0,0,0,0.8471646,0.6616472
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:12:41,25,42 Martha Wilber,0,0,0,0,0.64246196,0.6942225
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:15:39,25,31 María Vargas,0,0,0,0,0.056016598,0.37953287
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:18:19,25,42 Martha Wilber,0,0,0,0,0.9232365,0.5712969
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:38:21,28,29 Charlotte Doran,0,0,0,0,0.03941909,0.3340504
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:41:20,28,44 Jordan Harn,0,0,0,0,0.38105118,0.7470805
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:44:48,28,13 Hannah Abraham,1,0,0,0,0.49031812,0.83927476
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:52:49,29,29 Charlotte Doran,0,0,0,0,0.33679116,0.377689
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:55:28,30,87 Christina Marsciano,1,0,0,0,0.87759334,0.8650891
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 02:57:05,30,87 Christina Marsciano,0,0,0,0,0.91632086,0.80055314
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 03:09:16,33,54 Liv Ford,0,0,1,0,0.0615491,0.37400123
RAL @ ATL,Week 2,ATL,RAL,2024-04-17 03:10:35,33,12 Emma Jaschke,1,0,0,0,0.5746888,0.9720344
NY @ PORT,Week 3,NY,PORT,4/25/2024 13:16,7,09 Cassandra Brown,1,0,0,0,0.79780036,0.82645404
NY @ PORT,Week 3,NY,PORT,4/25/2024 13:58,14,66 Janine Hlavaty,0,0,0,0,0.42047378,0.32551596
NY @ PORT,Week 3,NY,PORT,4/25/2024 14:07,16,65 Anna Lieberman,1,0,0,0,0.6218274,0.8577236
NY @ PORT,Week 3,NY,PORT,4/25/2024 14:16,18,08 Manuela Cardenas,1,0,0,0,0.5744501,0.82020015
NY @ PORT,Week 3,NY,PORT,4/25/2024 14:26,22,08 Manuela Cardenas,0,0,0,0,0.21573605,0.7326454
NY @ PORT,Week 3,NY,PORT,4/25/2024 14:31,23,31 Eli Presberg,0,0,0,0,0.43401015,0.749531
NY @ PORT,Week 3,NY,PORT,4/25/2024 14:36,24,23 Linnea Soo,1,0,0,0,0.3747885,0.8364603
NY @ PORT,Week 3,NY,PORT,4/25/2024 14:42,27,08 Manuela Cardenas,1,0,0,0,0.48984772,0.83083177
NY @ PORT,Week 3,PORT,NY,2024-04-23 20:06:08,2,06 Rowse,0,0,0,0,0.29166666,0.46913582
NY @ PORT,Week 3,PORT,NY,2024-04-23 21:53:54,8,04 Adelle Pitsas,0,0,0,0,0.7583333,0.52345675
NY @ PORT,Week 3,PORT,NY,2024-04-23 22:03:01,10,24 Annika Chan,0,0,0,0,0.49583334,0.51296294
